歌曲id,歌曲频率,歌曲名字,歌手id
1293821705,9.0,暴雨REMIX,13610356
468120713,7.0,暴雨remix,12262218
554639065,11.0,雨后彩虹（暴雨Remix）,13153131
545383418,6.0,暴雨 Remix,12288204
1310510581,12.0,Rainbow(暴雨remix),14114109
1348185572,6.0,Lil.Jet-自由世界（Lil white孙明栋 / Lil.Jet remix）,30220267
1296558296,12.0,暴雨&amp;Bounce Back（Live版）,27871690
1340280130,46.0,Lil Jet-桌球棋牌（ZoneJay remix）,31055079
1322069953,17.0,暴雨hook-wav,30548454
542690276,25.0,GOOD NIGHT,12493781
1351664505,10.0,上,12493781
1297486087,10.0,Unicorn,12493781
543987405,89.0,Artist (Live),12493781
550136151,15.0,It's Ok (Live),12054456
550136152,13.0,Forever (Live),12054456
545592271,70.0,听听我说的吧 (Live),12932368
1356455302,11.0,黑白,12493781
1355916305,10.0,友情岁月 (概念版),187872
1323303573,10.0,I.W.A.B.N,12493781
548648086,44.0,Zero (Live),4694
1318879277,11.0,扑朔迷离 (跑得快),12493781
503206163,19.0,新生代,12493781
1311347322,9.0,Unicorn (Live),12493781
1356493268,8.0,黑白 (伴奏),12493781
1351664507,9.0,上 (伴奏),12493781
1356492547,8.0,黑白 (和声伴奏),12493781
1297486088,10.0,Unicorn (伴奏),12493781
1323302540,10.0,I.W.A.B.N (伴奏),12493781
548714299,9.0,算了吧,12038272
516317025,12.0,滚出我的魔仙堡,12072094
552826125,9.0,每天晚上在宇宙边缘睡不着,12072094
522242199,15.0,十九岁的男孩想赚钱,12072094
1311408987,12.0,Rocky Boy,12072094
1326322934,13.0,Neymar Rolling,12072094
565436193,11.0,Don’t touch me,12072094
525073059,12.0,爸爸告诉我年纪小很危险,12072094
1868553,24.0,Bohemian Rhapsody,41906
1869271,26.0,We Will Rock You,41906
1868480,15.0,We Are the Champions,41906
27198691,15.0,Love Of My Life,41906
1868486,16.0,Another One Bites the Dust,41906
1868483,17.0,Radio Ga Ga,41906
1868520,23.0,Don't Stop Me Now,41906
27198673,23.0,Killer Queen,41906
1868386,22.0,I Want To Break Free,41906
18317677,19.0,Under Pressure (2011 Remaster),41906
445702291,60.0,Under Pressure,41906
1868543,16.0,Somebody to Love,41906
1318816001,22.0,Somebody To Love,41906
1318814922,22.0,20th Century Fox Fanfare,41906
29718157,8.0,There Must Be More To Life Than This (William Orbit Mix),41906
26857076,10.0,The Show Must Go On,41906
27342242,5.0,Queen at Live Aid 1985,41906
18317152,52.0,I Was Born To Love You,41906
1868496,15.0,Crazy Little Thing Called Love,41906
1318814933,20.0,Ay-Oh (Live Aid),41906
1869285,19.0,Hammer To Fall,41906
1868547,21.0,I Want to Break Free,41906
18317148,42.0,Made In Heaven,41906
1318816009,20.0,Another One Bites The Dust,41906
18317676,18.0,Cool Cat (2011 Remaster),41906
27009524,6.0,Good Old Fashioned Lover Boy,41906
1318814931,22.0,Who Wants To Live Forever,41906
27198672,14.0,We Are The Champions,41906
27198670,13.0,Bicycle Race,41906
472045333,11.0,Keep Yourself Alive,41906
27198669,11.0,Fat Bottomed Girls,41906
29718176,10.0,Friends Will Be Friends (2011 Remaster),41906
29718160,9.0,You're My Best Friend,41906
29718183,8.0,Save Me (2014 Remaster),41906
4878082,680.0,Love of My Life,41906
1868383,18.0,I Want It All,41906
29718182,8.0,It's A Hard Life (2014 Remaster),41906
1869310,16.0,Sheer Heart Attack,41906
29718164,8.0,Spread Your Wings (2014 Remaster),41906
1868527,13.0,These Are the Days of Our Lives,41906
18317661,17.0,Seaside Rendezvous (2011 Remaster),41906
1868501,14.0,A Kind of Magic,41906
18317585,55.0,'39 (Remastered 2011),41906
29718159,8.0,Dear Friends (2011 Remaster),41906
29718185,8.0,Too Much Love Will Kill You (2011 Remaster),41906
29718188,8.0,Is This The World We Created (2014 Remaster),41906
29718156,11.0,Let Me In Your Heart Again,41906
5195067,141.0,We are the champions,41906
26693277,16.0,Thank God It's Christmas,41906
29718177,8.0,Jealousy (2011 Remaster),41906
1347300592,10.0,16 Hours,12002201
1347300594,9.0,Flexing So Hard,12002201
1347300595,9.0,One Punch Man,12002201
1347300596,11.0,Do It Like Me,12002201
1347300597,9.0,Top,12002201
1347297660,10.0,Sunshine,12002201
1347300598,9.0,We Talkin Bout,12002201
1347297661,6.0,恭喜发财,12002201
1347297662,9.0,Need Me Now,12002201
1347297663,13.0,Diamond,12002201
1347297664,12.0,No More,12002201
1347297665,9.0,Zombie,12002201
1347300599,10.0,Won’t Believe,12002201
864647456,15.0,Lover Boy 88,12002201
1342022280,6.0,恭喜发财,12002201
571339219,12.0,Midsummer Madness,15022053
1339066481,7.0,Open It Up,12002201
536622918,11.0,暴风雨,12002201
420386024,15.0,Without You(DZ&amp;PS￥.P)[Prod.Breezy],12002201
1331885289,6.0,16 Hours,12002201
480579337,19.0,711,12002201
862098298,7.0,Let It Go,15022053
480579331,18.0,Isabellae,12002201
562598516,17.0,Nomadic,12002201
534064047,10.0,Room Service,12002201
